date,store_nbr,temperature_c,rainfall_mm,windspeed_kmh
2013-01-01,44,26.0,0.4,11.3
2013-01-02,44,26.0,0.0,15.8
2013-01-03,44,25.2,9.9,18.1
2013-01-04,44,24.8,10.0,14.1
2013-01-05,44,25.8,0.0,20.1
2013-01-06,44,26.1,0.0,19.2
2013-01-07,44,23.9,94.5,15.8
2013-01-08,44,25.3,4.7,16.3
2013-01-09,44,26.0,2.8,17.0
2013-01-10,44,26.2,1.3,17.7
2013-01-11,44,26.4,0.0,17.7
2013-01-12,44,26.0,0.0,17.4
2013-01-13,44,24.9,0.0,20.3
2013-01-14,44,24.7,0.0,14.8
2013-01-15,44,25.2,0.0,13.4
2013-01-16,44,25.5,0.0,17.1
2013-01-17,44,25.2,0.0,18.1
2013-01-18,44,25.2,0.0,15.4
2013-01-19,44,25.6,0.0,12.9
2013-01-20,44,26.2,0.0,12.1
2013-01-21,44,26.8,0.0,20.3
2013-01-22,44,26.6,0.0,20.0
2013-01-23,44,26.2,0.8,19.8
2013-01-24,44,25.6,0.1,18.3
2013-01-25,44,25.8,1.4,20.3
2013-01-26,44,26.7,0.0,15.6
2013-01-27,44,27.0,0.0,14.2
2013-01-28,44,27.2,0.0,16.3
2013-01-29,44,26.9,0.0,14.7
2013-01-30,44,26.6,0.0,10.8
2013-01-31,44,27.0,0.0,14.4
2013-02-01,44,27.3,0.0,18.9
2013-02-02,44,27.9,0.0,17.2
2013-02-03,44,28.0,0.0,14.5
2013-02-04,44,27.3,0.0,10.1
2013-02-05,44,27.3,0.4,8.2
2013-02-06,44,26.5,10.2,6.8
2013-02-07,44,26.5,0.0,6.4
2013-02-08,44,26.5,2.0,7.5
2013-02-09,44,26.7,1.8,12.5
2013-02-10,44,27.2,0.0,13.9
2013-02-11,44,26.0,4.2,18.7
2013-02-12,44,25.2,13.8,15.8
2013-02-13,44,25.7,16.1,17.5
2013-02-14,44,25.7,28.3,6.1
2013-02-15,44,26.0,11.3,12.6
2013-02-16,44,26.6,1.1,9.8
2013-02-17,44,26.7,2.3,9.7
2013-02-18,44,26.5,1.2,9.7
2013-02-19,44,25.8,8.2,10.4
2013-02-20,44,26.4,0.0,8.9
2013-02-21,44,26.6,0.0,14.0
2013-02-22,44,26.8,0.0,14.6
2013-02-23,44,25.9,0.0,15.8
2013-02-24,44,26.0,0.0,9.4
2013-02-25,44,26.4,0.0,10.5
2013-02-26,44,26.1,0.0,9.4
2013-02-27,44,26.2,0.0,14.1
2013-02-28,44,27.0,0.0,11.9
2013-03-01,44,27.7,0.0,9.8
2013-03-02,44,27.9,0.0,10.1
2013-03-03,44,27.9,0.0,17.3
2013-03-04,44,24.6,26.6,12.3
2013-03-05,44,26.4,5.3,7.1
2013-03-06,44,26.7,13.4,8.4
2013-03-07,44,26.9,6.0,11.4
2013-03-08,44,27.0,12.8,7.3
2013-03-09,44,26.8,11.3,12.7
2013-03-10,44,27.5,0.0,7.9
2013-03-11,44,27.6,1.9,10.9
2013-03-12,44,27.0,3.3,11.6
2013-03-13,44,27.0,2.0,8.0
2013-03-14,44,26.9,1.1,9.2
2013-03-15,44,26.4,21.1,11.0
2013-03-16,44,26.6,6.1,9.0
2013-03-17,44,26.9,2.4,10.4
2013-03-18,44,27.3,0.4,9.6
2013-03-19,44,27.0,1.3,7.3
2013-03-20,44,27.6,0.2,6.8
2013-03-21,44,27.4,0.3,12.3
2013-03-22,44,27.7,0.0,8.0
2013-03-23,44,27.0,3.4,11.5
2013-03-24,44,26.6,80.7,12.4
2013-03-25,44,26.3,28.0,9.8
2013-03-26,44,26.8,4.1,8.7
2013-03-27,44,27.3,5.6,6.5
2013-03-28,44,27.1,3.1,10.0
2013-03-29,44,27.4,4.4,11.9
2013-03-30,44,27.4,1.5,9.2
2013-03-31,44,27.4,3.1,9.7
2013-04-01,44,27.8,2.3,9.8
2013-04-02,44,27.9,0.8,11.2
2013-04-03,44,28.2,0.0,10.5
2013-04-04,44,27.6,1.6,9.3
2013-04-05,44,27.4,3.2,12.8
2013-04-06,44,28.1,1.1,13.4
2013-04-07,44,28.3,0.7,12.3
2013-04-08,44,28.5,0.3,9.4
2013-04-09,44,28.1,0.7,11.0
2013-04-10,44,26.5,8.2,13.4
2013-04-11,44,27.6,0.4,11.3
2013-04-12,44,27.7,3.6,6.8
2013-04-13,44,27.5,6.1,12.1
2013-04-14,44,27.8,2.1,10.1
2013-04-15,44,27.0,8.9,12.1
2013-04-16,44,27.9,1.1,13.7
2013-04-17,44,28.2,1.3,13.5
2013-04-18,44,28.2,1.1,14.5
2013-04-19,44,28.4,1.2,11.7
2013-04-20,44,28.4,0.6,14.0
2013-04-21,44,28.2,0.1,11.0
2013-04-22,44,28.3,0.7,12.8
2013-04-23,44,27.8,3.5,9.7
2013-04-24,44,27.5,3.6,7.8
2013-04-25,44,27.2,7.7,13.3
2013-04-26,44,27.1,7.6,10.7
2013-04-27,44,27.3,5.6,9.0
2013-04-28,44,27.6,3.0,15.2
2013-04-29,44,27.8,4.6,12.4
2013-04-30,44,27.7,8.3,9.2
2013-05-01,44,26.8,10.0,13.8
2013-05-02,44,26.8,8.6,12.6
2013-05-03,44,26.3,13.8,14.0
2013-05-04,44,26.3,15.7,10.3
2013-05-05,44,26.3,14.0,14.6
2013-05-06,44,26.1,12.4,10.2
2013-05-07,44,26.4,19.7,10.0
2013-05-08,44,27.7,0.4,16.3
2013-05-09,44,28.2,2.0,15.4
2013-05-10,44,28.6,2.0,15.7
2013-05-11,44,28.3,2.2,15.9
2013-05-12,44,27.2,5.3,15.1
2013-05-13,44,26.7,17.5,16.9
2013-05-14,44,26.9,12.1,15.3
2013-05-15,44,27.9,2.8,20.7
2013-05-16,44,27.9,1.5,16.6
2013-05-17,44,27.9,2.6,13.2
2013-05-18,44,27.6,3.0,14.3
2013-05-19,44,26.9,6.6,15.6
2013-05-20,44,26.0,13.7,17.7
2013-05-21,44,26.3,9.7,18.7
2013-05-22,44,27.1,2.6,21.4
2013-05-23,44,27.3,6.5,20.7
2013-05-24,44,26.7,9.3,19.1
2013-05-25,44,26.8,9.7,19.0
2013-05-26,44,27.1,5.3,18.5
2013-05-27,44,26.9,6.4,19.3
2013-05-28,44,27.1,3.0,18.1
2013-05-29,44,26.9,6.0,18.4
2013-05-30,44,26.4,12.1,18.4
2013-05-31,44,25.4,46.4,20.2
2013-06-01,44,25.5,24.7,19.1
2013-06-02,44,25.9,20.0,20.9
2013-06-03,44,26.4,7.2,19.2
2013-06-04,44,26.8,9.8,19.4
2013-06-05,44,26.4,11.9,18.1
2013-06-06,44,26.4,5.9,17.6
2013-06-07,44,26.4,8.7,21.1
2013-06-08,44,25.1,42.9,22.8
2013-06-09,44,26.3,3.8,16.2
2013-06-10,44,26.6,4.1,19.1
2013-06-11,44,26.2,17.9,18.4
2013-06-12,44,25.8,21.0,25.8
2013-06-13,44,25.8,13.0,19.3
2013-06-14,44,26.2,7.5,16.7
2013-06-15,44,25.7,14.8,20.8
2013-06-16,44,26.0,5.7,17.8
2013-06-17,44,25.4,21.4,14.8
2013-06-18,44,25.6,21.5,15.7
2013-06-19,44,26.0,20.4,17.0
2013-06-20,44,26.2,15.4,19.9
2013-06-21,44,26.2,20.6,19.4
2013-06-22,44,26.2,13.0,19.1
2013-06-23,44,26.0,23.7,21.5
2013-06-24,44,26.2,6.9,20.5
2013-06-25,44,25.9,9.0,15.6
2013-06-26,44,26.1,8.4,12.9
2013-06-27,44,26.1,6.3,13.5
2013-06-28,44,25.7,8.2,15.3
2013-06-29,44,25.8,10.7,12.0
2013-06-30,44,25.6,16.7,15.5
2013-07-01,44,26.1,10.0,15.6
2013-07-02,44,25.7,14.9,17.7
2013-07-03,44,26.1,4.0,18.4
2013-07-04,44,26.2,3.3,16.3
2013-07-05,44,26.2,6.4,16.9
2013-07-06,44,26.7,5.3,14.4
2013-07-07,44,26.7,4.5,21.0
2013-07-08,44,26.2,12.1,20.9
2013-07-09,44,25.8,21.2,18.5
2013-07-10,44,25.7,25.7,21.2
2013-07-11,44,26.3,2.2,16.0
2013-07-12,44,26.5,2.6,16.3
2013-07-13,44,26.2,1.7,13.1
2013-07-14,44,26.4,1.9,19.6
2013-07-15,44,26.5,1.9,18.5
2013-07-16,44,25.6,18.0,20.8
2013-07-17,44,25.6,3.4,18.2
2013-07-18,44,25.8,6.6,16.6
2013-07-19,44,25.9,8.3,17.7
2013-07-20,44,26.0,2.8,13.9
2013-07-21,44,26.3,5.8,13.8
2013-07-22,44,25.6,20.6,18.9
2013-07-23,44,25.4,24.2,18.4
2013-07-24,44,25.8,10.6,16.8
2013-07-25,44,25.7,6.8,16.9
2013-07-26,44,25.7,7.2,14.1
2013-07-27,44,26.5,0.5,13.0
2013-07-28,44,26.5,1.8,16.5
2013-07-29,44,26.8,0.0,16.3
2013-07-30,44,26.9,0.9,21.8
2013-07-31,44,27.0,2.5,20.8
2013-08-01,44,26.6,4.8,15.1
2013-08-02,44,26.2,8.5,16.7
2013-08-03,44,26.4,6.1,18.7
2013-08-04,44,25.4,48.6,23.9
2013-08-05,44,25.9,5.7,23.3
2013-08-06,44,26.0,3.1,18.8
2013-08-07,44,26.2,0.2,20.6
2013-08-08,44,26.2,0.7,18.8
2013-08-09,44,26.2,1.1,20.8
2013-08-10,44,26.2,2.0,16.2
2013-08-11,44,26.2,4.4,18.9
2013-08-12,44,26.1,3.6,16.9
2013-08-13,44,26.2,1.9,17.5
2013-08-14,44,26.1,0.5,18.2
2013-08-15,44,26.0,0.9,15.3
2013-08-16,44,25.9,1.8,16.3
2013-08-17,44,25.7,0.7,15.0
2013-08-18,44,26.1,3.4,18.8
2013-08-19,44,26.2,2.0,16.3
2013-08-20,44,26.4,5.5,19.5
2013-08-21,44,26.4,9.3,16.4
2013-08-22,44,26.3,3.5,16.5
2013-08-23,44,26.5,1.9,17.7
2013-08-24,44,26.7,1.8,19.7
2013-08-25,44,26.5,0.9,17.2
2013-08-26,44,26.6,3.4,17.4
2013-08-27,44,26.4,1.3,17.6
2013-08-28,44,26.5,1.0,18.0
2013-08-29,44,26.5,7.5,10.7
2013-08-30,44,26.5,10.7,9.7
2013-08-31,44,26.4,2.4,15.3
2013-09-01,44,25.9,5.7,15.1
2013-09-02,44,25.9,7.3,17.3
2013-09-03,44,25.8,4.5,15.6
2013-09-04,44,25.8,3.0,14.6
2013-09-05,44,25.6,9.5,15.0
2013-09-06,44,25.2,15.8,17.3
2013-09-07,44,25.9,3.8,15.5
2013-09-08,44,25.4,15.0,17.7
2013-09-09,44,25.5,20.7,19.5
2013-09-10,44,25.8,25.2,18.7
2013-09-11,44,25.0,17.8,19.0
2013-09-12,44,24.9,22.1,19.0
2013-09-13,44,25.4,10.8,17.6
2013-09-14,44,25.5,14.8,17.6
2013-09-15,44,26.4,4.7,21.0
2013-09-16,44,25.6,7.9,19.4
2013-09-17,44,25.4,25.3,23.1
2013-09-18,44,25.6,22.0,21.2
2013-09-19,44,26.4,3.4,18.7
2013-09-20,44,26.1,12.7,18.3
2013-09-21,44,26.9,3.9,20.8
2013-09-22,44,26.5,2.3,19.2
2013-09-23,44,26.6,1.8,16.4
2013-09-24,44,26.7,0.1,14.8
2013-09-25,44,26.5,3.0,15.1
2013-09-26,44,26.5,1.1,15.3
2013-09-27,44,26.6,0.0,13.5
2013-09-28,44,26.6,1.9,17.8
2013-09-29,44,26.8,1.3,18.4
2013-09-30,44,26.7,2.9,17.7
2013-10-01,44,26.6,2.8,15.7
2013-10-02,44,26.8,2.5,18.4
2013-10-03,44,26.5,4.5,17.1
2013-10-04,44,25.3,3.1,15.6
2013-10-05,44,25.8,2.8,12.8
2013-10-06,44,26.3,0.2,14.4
2013-10-07,44,26.5,1.1,16.8
2013-10-08,44,26.9,0.8,16.0
2013-10-09,44,26.7,1.9,16.6
2013-10-10,44,26.1,10.1,15.7
2013-10-11,44,26.9,4.8,19.3
2013-10-12,44,25.9,11.3,20.3
2013-10-13,44,26.4,3.2,14.2
2013-10-14,44,26.9,1.4,16.2
2013-10-15,44,26.9,1.6,15.1
2013-10-16,44,26.9,9.2,12.8
2013-10-17,44,25.8,23.5,13.8
2013-10-18,44,25.5,13.5,10.8
2013-10-19,44,24.5,35.3,14.7
2013-10-20,44,25.4,34.5,15.9
2013-10-21,44,25.7,14.1,18.7
2013-10-22,44,25.9,9.1,16.7
2013-10-23,44,26.6,2.3,15.6
2013-10-24,44,25.9,5.1,15.1
2013-10-25,44,25.9,9.8,15.0
2013-10-26,44,26.6,0.0,12.0
2013-10-27,44,25.9,7.6,17.0
2013-10-28,44,26.3,2.9,13.0
2013-10-29,44,26.0,4.7,11.7
2013-10-30,44,25.9,8.8,10.6
2013-10-31,44,25.2,73.2,6.9
2013-11-01,44,25.7,10.2,11.8
2013-11-02,44,25.4,31.4,7.7
2013-11-03,44,25.8,12.9,7.2
2013-11-04,44,26.2,0.4,5.4
2013-11-05,44,26.1,3.0,7.1
2013-11-06,44,25.6,7.1,7.4
2013-11-07,44,25.6,7.5,6.8
2013-11-08,44,26.2,0.7,10.2
2013-11-09,44,26.1,4.0,7.0
2013-11-10,44,26.1,8.8,8.0
2013-11-11,44,26.2,2.0,15.8
2013-11-12,44,25.9,1.5,13.9
2013-11-13,44,25.2,13.2,14.9
2013-11-14,44,26.2,0.4,15.3
2013-11-15,44,26.1,0.2,16.6
2013-11-16,44,25.2,2.3,14.9
2013-11-17,44,25.8,1.0,8.6
2013-11-18,44,25.8,2.2,6.3
2013-11-19,44,25.6,6.2,8.6
2013-11-20,44,26.4,0.0,15.1
2013-11-21,44,26.3,0.2,7.8
2013-11-22,44,26.2,1.2,9.7
2013-11-23,44,25.7,12.4,12.2
2013-11-24,44,25.4,36.1,6.2
2013-11-25,44,26.2,0.3,12.8
2013-11-26,44,26.2,0.3,9.7
2013-11-27,44,26.2,0.0,13.0
2013-11-28,44,25.5,0.0,6.5
2013-11-29,44,26.0,0.7,6.0
2013-11-30,44,26.0,0.6,10.1
2013-12-01,44,25.2,13.2,11.3
2013-12-02,44,25.4,11.6,14.3
2013-12-03,44,25.6,7.8,17.8
2013-12-04,44,25.4,0.0,13.5
2013-12-05,44,24.8,5.3,20.5
2013-12-06,44,25.3,4.5,19.7
2013-12-07,44,25.8,1.2,18.3
2013-12-08,44,25.7,0.7,18.6
2013-12-09,44,25.8,0.6,13.0
2013-12-10,44,25.1,0.0,7.6
2013-12-11,44,25.8,0.8,8.9
2013-12-12,44,25.6,2.0,10.9
2013-12-13,44,25.3,16.4,7.2
2013-12-14,44,25.5,7.9,12.1
2013-12-15,44,25.3,8.1,14.3
2013-12-16,44,25.4,0.0,21.2
2013-12-17,44,24.8,0.0,23.5
2013-12-18,44,25.8,0.0,19.5
2013-12-19,44,25.3,0.7,15.1
2013-12-20,44,26.2,0.2,15.1
2013-12-21,44,26.1,1.6,9.9
2013-12-22,44,26.1,0.0,18.0
2013-12-23,44,25.3,0.0,16.6
2013-12-24,44,26.3,0.4,17.1
2013-12-25,44,25.9,1.1,24.5
2013-12-26,44,25.5,0.0,20.2
2013-12-27,44,25.6,0.0,17.5
2013-12-28,44,25.6,0.0,13.1
2013-12-29,44,25.9,0.0,15.4
2013-12-30,44,26.1,0.0,15.9
2013-12-31,44,26.6,0.0,17.7
2014-01-01,44,26.9,0.0,18.6
2014-01-02,44,26.5,0.0,18.2
2014-01-03,44,26.4,0.0,16.8
2014-01-04,44,25.8,0.0,20.7
2014-01-05,44,25.0,0.0,19.4
2014-01-06,44,25.7,2.2,16.1
2014-01-07,44,25.5,21.9,8.3
2014-01-08,44,26.4,1.3,7.3
2014-01-09,44,26.4,0.3,10.8
2014-01-10,44,26.8,0.0,14.6
2014-01-11,44,26.3,0.0,12.3
2014-01-12,44,26.3,1.0,14.6
2014-01-13,44,25.8,0.1,19.1
2014-01-14,44,26.7,0.1,6.9
2014-01-15,44,25.9,10.5,13.0
2014-01-16,44,26.2,0.8,11.3
2014-01-17,44,27.0,0.3,16.0
2014-01-18,44,26.5,0.0,14.8
2014-01-19,44,27.0,0.0,17.1
2014-01-20,44,27.0,0.0,17.6
2014-01-21,44,27.6,0.0,19.8
2014-01-22,44,27.4,0.0,13.9
2014-01-23,44,27.6,0.0,12.1
2014-01-24,44,27.7,0.0,14.4
2014-01-25,44,27.2,0.0,19.7
2014-01-26,44,26.9,0.0,21.5
2014-01-27,44,27.4,0.0,20.4
2014-01-28,44,27.2,0.0,18.3
2014-01-29,44,25.9,12.4,19.5
2014-01-30,44,27.1,0.0,17.1
2014-01-31,44,27.6,0.2,14.5
2014-02-01,44,28.1,0.0,13.9
2014-02-02,44,28.4,0.0,17.2
2014-02-03,44,28.3,0.0,14.7
2014-02-04,44,27.3,0.0,14.1
2014-02-05,44,27.1,0.0,14.5
2014-02-06,44,27.2,0.0,16.7
2014-02-07,44,26.9,0.0,12.4
2014-02-08,44,27.0,0.0,9.1
2014-02-09,44,26.8,0.0,13.0
2014-02-10,44,26.6,0.0,11.0
2014-02-11,44,26.1,0.0,11.2
2014-02-12,44,26.8,0.0,12.6
2014-02-13,44,27.4,0.0,10.8
2014-02-14,44,28.0,0.0,10.7
2014-02-15,44,28.2,0.0,13.9
2014-02-16,44,28.0,0.2,13.1
2014-02-17,44,28.5,0.2,11.6
2014-02-18,44,29.2,0.2,6.8
2014-02-19,44,28.5,0.4,16.4
2014-02-20,44,27.4,4.6,9.8
2014-02-21,44,28.0,0.8,8.2
2014-02-22,44,28.8,0.1,9.0
2014-02-23,44,27.7,1.0,10.3
2014-02-24,44,28.7,0.1,5.2
2014-02-25,44,29.4,0.7,10.9
2014-02-26,44,29.4,0.0,9.4
2014-02-27,44,28.2,0.6,12.9
2014-02-28,44,27.8,2.0,13.7
2014-03-01,44,28.7,0.3,12.2
2014-03-02,44,28.8,0.8,11.5
2014-03-03,44,28.6,0.2,12.0
2014-03-04,44,28.8,0.5,8.4
2014-03-05,44,28.1,7.3,13.5
2014-03-06,44,27.6,1.9,9.2
2014-03-07,44,27.6,7.2,9.1
2014-03-08,44,28.0,0.8,9.0
2014-03-09,44,28.5,0.0,10.1
2014-03-10,44,28.2,0.0,8.7
2014-03-11,44,28.9,0.0,12.1
2014-03-12,44,28.6,1.0,9.7
2014-03-13,44,29.2,0.0,11.0
2014-03-14,44,28.9,0.0,11.0
2014-03-15,44,28.4,0.2,11.7
2014-03-16,44,29.5,0.0,10.3
2014-03-17,44,28.6,3.1,10.1
2014-03-18,44,27.6,22.7,11.3
2014-03-19,44,26.8,10.4,5.9
2014-03-20,44,27.1,7.4,7.2
2014-03-21,44,27.8,1.2,9.3
2014-03-22,44,27.7,0.7,11.3
2014-03-23,44,27.8,0.0,12.8
2014-03-24,44,27.5,0.4,12.1
2014-03-25,44,28.4,0.0,6.4
2014-03-26,44,28.3,0.0,6.4
2014-03-27,44,28.6,0.7,10.1
2014-03-28,44,28.3,0.1,10.6
2014-03-29,44,28.8,0.0,13.4
2014-03-30,44,28.8,0.8,14.7
2014-03-31,44,28.5,0.5,14.1
2014-04-01,44,28.7,0.9,16.2
2014-04-02,44,28.0,4.7,12.1
2014-04-03,44,28.5,0.6,13.3
2014-04-04,44,27.3,27.0,11.9
2014-04-05,44,26.6,21.9,9.0
2014-04-06,44,26.8,25.2,6.9
2014-04-07,44,27.3,4.9,6.8
2014-04-08,44,27.4,0.7,12.0
2014-04-09,44,27.7,0.1,11.9
2014-04-10,44,27.5,1.8,12.1
2014-04-11,44,26.9,3.5,13.2
2014-04-12,44,27.2,3.1,11.5
2014-04-13,44,27.5,2.3,9.8
2014-04-14,44,26.9,3.7,10.5
2014-04-15,44,27.1,2.0,7.4
2014-04-16,44,26.8,3.8,11.0
2014-04-17,44,27.0,2.0,13.0
2014-04-18,44,27.6,2.5,11.9
2014-04-19,44,27.8,1.9,11.2
2014-04-20,44,27.9,0.7,7.6
2014-04-21,44,27.7,1.9,10.1
2014-04-22,44,26.7,26.1,12.1
2014-04-23,44,26.9,4.5,8.9
2014-04-24,44,26.4,11.3,11.5
2014-04-25,44,27.3,2.6,11.9
2014-04-26,44,27.6,2.7,10.7
2014-04-27,44,26.9,52.4,10.8
2014-04-28,44,27.0,9.9,9.8
2014-04-29,44,26.2,16.6,13.0
2014-04-30,44,26.4,11.8,11.4
2014-05-01,44,27.2,5.7,10.3
2014-05-02,44,27.0,11.4,12.6
2014-05-03,44,26.6,12.7,14.2
2014-05-04,44,25.9,15.3,11.0
2014-05-05,44,25.5,32.9,10.3
2014-05-06,44,25.5,29.6,15.5
2014-05-07,44,26.2,7.5,21.2
2014-05-08,44,26.6,13.6,16.4
2014-05-09,44,26.9,6.4,13.9
2014-05-10,44,27.5,2.7,15.5
2014-05-11,44,27.8,2.9,12.4
2014-05-12,44,27.5,4.4,14.3
2014-05-13,44,27.6,1.1,16.3
2014-05-14,44,27.2,6.8,13.7
2014-05-15,44,27.9,2.1,17.2
2014-05-16,44,28.5,0.7,19.4
2014-05-17,44,28.0,0.0,15.3
2014-05-18,44,27.8,0.6,15.0
2014-05-19,44,27.9,1.2,15.4
2014-05-20,44,27.3,1.9,13.2
2014-05-21,44,26.9,7.1,17.6
2014-05-22,44,27.5,2.3,15.1
2014-05-23,44,27.5,3.2,16.9
2014-05-24,44,27.3,5.6,18.4
2014-05-25,44,27.0,9.6,16.2
2014-05-26,44,27.7,3.8,17.4
2014-05-27,44,27.0,3.2,14.6
2014-05-28,44,26.4,7.4,17.9
2014-05-29,44,26.7,13.8,16.1
2014-05-30,44,26.6,6.3,18.6
2014-05-31,44,26.7,3.4,14.9
2014-06-01,44,26.9,3.8,13.8
2014-06-02,44,26.3,13.3,13.7
2014-06-03,44,26.5,4.9,11.3
2014-06-04,44,27.3,6.6,18.4
2014-06-05,44,27.7,6.3,16.2
2014-06-06,44,27.7,5.1,18.7
2014-06-07,44,27.8,2.7,23.1
2014-06-08,44,27.7,11.5,18.6
2014-06-09,44,27.6,4.4,17.3
2014-06-10,44,27.5,7.3,15.9
2014-06-11,44,27.3,9.3,17.7
2014-06-12,44,26.3,29.2,17.9
2014-06-13,44,27.4,4.8,11.9
2014-06-14,44,27.8,1.7,18.6
2014-06-15,44,27.8,1.2,18.1
2014-06-16,44,27.7,1.5,21.6
2014-06-17,44,27.6,1.4,23.0
2014-06-18,44,27.7,4.7,17.7
2014-06-19,44,26.5,7.0,16.6
2014-06-20,44,26.8,3.8,17.7
2014-06-21,44,26.9,6.2,19.7
2014-06-22,44,27.4,1.6,16.8
2014-06-23,44,27.4,2.5,17.0
2014-06-24,44,27.4,3.8,18.3
2014-06-25,44,27.2,6.4,19.1
2014-06-26,44,27.3,3.8,18.5
2014-06-27,44,26.8,3.1,17.5
2014-06-28,44,26.6,3.1,17.2
2014-06-29,44,26.6,3.1,17.3
2014-06-30,44,26.3,7.9,19.6
2014-07-01,44,26.0,16.1,18.8
2014-07-02,44,27.2,2.3,19.8
2014-07-03,44,27.5,2.1,19.4
2014-07-04,44,27.1,3.3,18.4
2014-07-05,44,27.0,6.9,21.3
2014-07-06,44,26.8,5.5,17.2
2014-07-07,44,27.0,2.9,17.5
2014-07-08,44,27.1,2.0,19.5
2014-07-09,44,26.6,6.0,18.2
2014-07-10,44,26.2,15.1,17.2
2014-07-11,44,27.0,1.9,21.0
2014-07-12,44,26.4,5.6,20.9
2014-07-13,44,27.0,2.1,20.9
2014-07-14,44,26.5,5.7,19.2
2014-07-15,44,26.8,2.1,16.6
2014-07-16,44,26.9,1.8,16.8
2014-07-17,44,27.0,1.3,17.3
2014-07-18,44,26.7,3.7,14.8
2014-07-19,44,26.6,3.4,15.6
2014-07-20,44,27.0,1.9,17.4
2014-07-21,44,27.0,1.7,21.0
2014-07-22,44,26.7,5.0,17.2
2014-07-23,44,26.7,5.6,13.7
2014-07-24,44,26.8,3.9,14.9
2014-07-25,44,27.3,2.2,15.5
2014-07-26,44,27.0,5.5,16.5
2014-07-27,44,26.1,19.0,19.5
2014-07-28,44,26.6,14.1,18.4
2014-07-29,44,26.8,6.5,18.1
2014-07-30,44,26.9,1.2,17.5
2014-07-31,44,26.3,2.7,16.3
2014-08-01,44,26.2,8.3,17.8
2014-08-02,44,26.0,12.3,16.4
2014-08-03,44,26.0,12.3,16.8
2014-08-04,44,26.3,11.5,16.3
2014-08-05,44,26.5,10.7,15.9
2014-08-06,44,26.7,4.1,13.7
2014-08-07,44,26.9,2.5,15.9
2014-08-08,44,26.1,14.2,16.9
2014-08-09,44,26.5,1.7,16.8
2014-08-10,44,26.1,5.7,16.6
2014-08-11,44,25.7,14.8,19.8
2014-08-12,44,25.9,7.9,15.6
2014-08-13,44,26.2,8.1,17.5
2014-08-14,44,26.1,9.0,20.0
2014-08-15,44,25.7,16.9,17.9
2014-08-16,44,26.2,12.6,17.2
2014-08-17,44,25.5,17.2,13.4
2014-08-18,44,25.4,9.8,14.3
2014-08-19,44,25.7,5.6,16.5
2014-08-20,44,26.0,2.0,14.8
2014-08-21,44,25.9,7.8,17.7
2014-08-22,44,25.0,27.6,25.0
2014-08-23,44,25.8,10.1,14.6
2014-08-24,44,26.4,1.9,13.4
2014-08-25,44,26.7,1.0,16.5
2014-08-26,44,26.7,0.1,14.7
2014-08-27,44,26.7,0.0,15.8
2014-08-28,44,26.9,1.2,19.9
2014-08-29,44,26.4,1.5,18.2
2014-08-30,44,26.3,5.3,20.5
2014-08-31,44,27.0,3.3,16.1
2014-09-01,44,26.0,8.3,17.7
2014-09-02,44,25.5,8.9,15.2
2014-09-03,44,25.4,10.0,17.0
2014-09-04,44,25.5,9.7,12.9
2014-09-05,44,25.6,10.8,18.8
2014-09-06,44,25.4,15.3,19.7
2014-09-07,44,25.6,17.0,16.1
2014-09-08,44,26.0,4.0,18.4
2014-09-09,44,26.3,6.4,17.2
2014-09-10,44,25.7,23.9,19.3
2014-09-11,44,26.4,5.1,15.1
2014-09-12,44,26.5,3.1,16.3
2014-09-13,44,25.9,4.0,16.4
2014-09-14,44,26.2,5.9,16.3
2014-09-15,44,25.9,15.9,17.3
2014-09-16,44,26.8,3.6,19.3
2014-09-17,44,26.2,4.9,19.9
2014-09-18,44,26.9,2.1,19.0
2014-09-19,44,27.0,2.7,18.2
2014-09-20,44,26.8,3.5,19.9
2014-09-21,44,27.0,1.5,17.9
2014-09-22,44,26.6,2.4,15.3
2014-09-23,44,26.1,8.3,14.9
2014-09-24,44,25.9,7.2,15.1
2014-09-25,44,25.6,10.1,17.4
2014-09-26,44,25.4,13.1,16.9
2014-09-27,44,26.4,1.9,10.0
2014-09-28,44,26.5,8.1,11.0
2014-09-29,44,26.2,12.0,9.1
2014-09-30,44,25.9,13.6,10.0
2014-10-01,44,26.0,10.9,10.6
2014-10-02,44,25.6,16.8,7.7
2014-10-03,44,25.6,19.5,10.9
2014-10-04,44,25.9,13.3,10.7
2014-10-05,44,26.3,5.6,13.7
2014-10-06,44,26.1,6.6,14.0
2014-10-07,44,25.4,20.7,15.1
2014-10-08,44,25.9,20.2,13.4
2014-10-09,44,25.9,9.1,14.2
2014-10-10,44,26.0,12.0,16.0
2014-10-11,44,27.4,2.6,19.7
2014-10-12,44,26.5,6.1,20.0
2014-10-13,44,26.7,3.7,18.9
2014-10-14,44,26.6,2.8,13.3
2014-10-15,44,26.6,10.5,11.6
2014-10-16,44,25.4,80.3,9.6
2014-10-17,44,25.3,26.1,12.4
2014-10-18,44,24.4,43.0,10.7
2014-10-19,44,25.4,14.2,11.4
2014-10-20,44,25.9,7.8,11.8
2014-10-21,44,25.8,17.2,9.9
2014-10-22,44,26.1,3.5,11.7
2014-10-23,44,25.4,34.8,10.2
2014-10-24,44,26.4,4.3,7.6
2014-10-25,44,26.2,23.0,8.7
2014-10-26,44,26.3,7.6,8.6
2014-10-27,44,26.0,5.6,12.6
